template_id,nome,categoria_id,payment_account_id,considerar_resumo,ativo,primeira_competencia
tpl-netflix,Netflix,cat-streamings,acc-credito,FALSE,TRUE,2024-07
tpl-meli,Meli+,cat-netflix,acc-credito,FALSE,TRUE,2024-07
tpl-crunchyroll,Crunchyroll,cat-meli,acc-credito,FALSE,TRUE,2024-07
tpl-jus-brasil,Jus Brasil,cat-crunchyroll,acc-credito,FALSE,TRUE,2024-08
tpl-apartamento,Apartamento,cat-jus-brasil,acc-debito-automatico,TRUE,TRUE,2024-07
tpl-seguro-residencial,Seguro residêncial,cat-apartamento,acc-credito,FALSE,TRUE,2024-07
tpl-carro,Carro,cat-seguro-residencial,acc-boleto,TRUE,TRUE,2024-07
tpl-fies,FIES,cat-carro,acc-pix,TRUE,TRUE,2024-07
tpl-moveis-planejados,Móveis planejados,cat-fies,acc-pix,TRUE,TRUE,2024-07
tpl-salario-de-mae,Salário de mãe,cat-moveis-planejados,acc-pix,TRUE,TRUE,2024-07
tpl-academia,Academia,cat-salario-de-mae,acc-credito,FALSE,TRUE,2024-07
tpl-seguro-do-carro,Seguro do carro,cat-academia,acc-credito,FALSE,TRUE,2024-07
tpl-hormonios,Hormônios,cat-seguro-do-carro,acc-credito,FALSE,TRUE,2024-07
tpl-internet,Internet,cat-hormonios,acc-boleto,TRUE,TRUE,2024-08
tpl-condominio,Condôminio,cat-internet,acc-boleto,TRUE,TRUE,2024-08
tpl-cemig-metha,CEMIG/Metha,cat-condominio,acc-debito-automatico,TRUE,TRUE,2024-10
tpl-viagem-para-caldas-novas,Viagem para Caldas Novas,cat-cemig-metha,acc-pix,TRUE,TRUE,2024-09
tpl-remedios-pos-operatorio,Remédios pós operatório,cat-viagem-para-caldas-novas,acc-credito,TRUE,TRUE,2024-08
tpl-material-de-construcao-1,Material de construção (1),cat-remedios-pos-operatorio,acc-credito,TRUE,TRUE,2024-08
tpl-material-de-construcao-2,Material de construção (2),cat-material-de-construcao-1,acc-credito,TRUE,TRUE,2024-08
tpl-material-de-construcao-3,Material de construção (3),cat-material-de-construcao-2,acc-credito,TRUE,TRUE,2024-08
tpl-rebaixamento-com-iluminacao,Rebaixamento com iluminação,cat-material-de-construcao-3,acc-credito,TRUE,TRUE,2024-09
tpl-interruptores,Interruptores,cat-rebaixamento-com-iluminacao,acc-credito,TRUE,TRUE,2024-08
tpl-fechadura-eletronica,Fechadura eletronica,cat-interruptores,acc-credito,TRUE,TRUE,2024-08
tpl-presentes,Presentes,cat-fechadura-eletronica,acc-credito,TRUE,TRUE,2024-08
tpl-iogurtes,Iogurtes,cat-presentes,acc-credito,TRUE,TRUE,2024-08
tpl-passagem-de-aviao,Passagem de aviao,cat-iogurtes,acc-credito,TRUE,TRUE,2024-07
tpl-cuba-e-ralo-clique,Cuba e ralo clique,cat-passagem-de-aviao,acc-credito,TRUE,TRUE,2024-08
tpl-tapete,Tapete,cat-cuba-e-ralo-clique,acc-credito,TRUE,TRUE,2024-08
tpl-panelas,Panelas,cat-tapete,acc-credito,TRUE,TRUE,2024-08
tpl-ar-condicionado,Ar condicionado,cat-panelas,acc-credito,TRUE,TRUE,2024-08
tpl-luminaria-e-assento-sanitario,Luminária e assento sanitário,cat-ar-condicionado,acc-credito,TRUE,TRUE,2024-09
tpl-forno,Forno,cat-luminaria-e-assento-sanitario,acc-credito,TRUE,TRUE,2024-09
