transaction_id,template_id,competencia,descricao,categoria_id,valor_previsto,valor_final,status,considerar_resumo,payment_account_id,payment_group_id,tipo_lancamento,origem
tx-2024-07-netflix,tpl-netflix,2024-07,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2024-07,RECORRENTE,migrado-saidas
tx-2024-08-netflix,tpl-netflix,2024-08,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2024-08,RECORRENTE,migrado-saidas
tx-2024-09-netflix,tpl-netflix,2024-09,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2024-09,RECORRENTE,migrado-saidas
tx-2024-10-netflix,tpl-netflix,2024-10,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2024-10,RECORRENTE,migrado-saidas
tx-2024-11-netflix,tpl-netflix,2024-11,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2024-11,RECORRENTE,migrado-saidas
tx-2024-12-netflix,tpl-netflix,2024-12,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2024-12,RECORRENTE,migrado-saidas
tx-2025-01-netflix,tpl-netflix,2025-01,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-01,RECORRENTE,migrado-saidas
tx-2025-02-netflix,tpl-netflix,2025-02,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-02,RECORRENTE,migrado-saidas
tx-2025-03-netflix,tpl-netflix,2025-03,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-03,RECORRENTE,migrado-saidas
tx-2025-04-netflix,tpl-netflix,2025-04,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-04,RECORRENTE,migrado-saidas
tx-2025-05-netflix,tpl-netflix,2025-05,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-05,RECORRENTE,migrado-saidas
tx-2025-06-netflix,tpl-netflix,2025-06,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-06,RECORRENTE,migrado-saidas
tx-2025-07-netflix,tpl-netflix,2025-07,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-07,RECORRENTE,migrado-saidas
tx-2025-08-netflix,tpl-netflix,2025-08,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-08,RECORRENTE,migrado-saidas
tx-2025-09-netflix,tpl-netflix,2025-09,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-09,RECORRENTE,migrado-saidas
tx-2025-10-netflix,tpl-netflix,2025-10,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-10,RECORRENTE,migrado-saidas
tx-2025-11-netflix,tpl-netflix,2025-11,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-11,RECORRENTE,migrado-saidas
tx-2025-12-netflix,tpl-netflix,2025-12,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2025-12,RECORRENTE,migrado-saidas
tx-2026-01-netflix,tpl-netflix,2026-01,Netflix,cat-streamings,"20,9","20,9",PAGO,FALSE,acc-credito,fat-credito-2026-01,RECORRENTE,migrado-saidas
